Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201709,September 2017,6,1,2,Exports,360,Indonesia,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,130475,,,0
HS,2017,201709,September 2017,6,1,2,Exports,360,Indonesia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,10,,,0
HS,2017,201709,September 2017,6,1,2,Exports,360,Indonesia,,792,Turkey,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,220220,,,0
HS,2017,201709,September 2017,6,1,2,Exports,360,Indonesia,,646,Rwanda,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,28600,,,0
HS,2017,201709,September 2017,6,1,2,Exports,360,Indonesia,,140,Central African Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,31474,,,0
HS,2017,201709,September 2017,6,1,2,Exports,360,Indonesia,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,12,,,0
HS,2017,201709,September 2017,6,1,2,Exports,360,Indonesia,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,7720,,,0
HS,2017,201709,September 2017,6,1,2,Exports,360,Indonesia,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,718,,,0
HS,2017,201702,February 2017,6,1,2,Exports,360,Indonesia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,1835,,,0
HS,2017,201709,September 2017,6,1,2,Exports,360,Indonesia,,232,Eritrea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,24700,,,0
HS,2017,201709,September 2017,6,1,2,Exports,360,Indonesia,,332,Haiti,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,12936,,,0
HS,2017,201708,August 2017,6,1,2,Exports,360,Indonesia,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,25,,,0
HS,2017,201702,February 2017,6,1,1,Imports,360,Indonesia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2541,,2850750,,,0
HS,2017,201709,September 2017,6,1,2,Exports,360,Indonesia,,344,"China, Hong Kong SAR",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,4606,,,0
HS,2017,201709,September 2017,6,1,1,Imports,360,Indonesia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8258,,1896750,,,0
HS,2017,201709,September 2017,6,1,2,Exports,360,Indonesia,,422,Lebanon,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,720000,,,0
HS,2017,201707,July 2017,6,1,2,Exports,360,Indonesia,,887,Yemen,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,395280,,,0
HS,2017,201709,September 2017,6,1,2,Exports,360,Indonesia,,524,Nepal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,158100,,,0
HS,2017,201708,August 2017,6,1,2,Exports,360,Indonesia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,21980,,5502578,,,0
HS,2017,201708,August 2017,6,1,1,Imports,360,Indonesia,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,989,,31602,,,0
HS,2017,201702,February 2017,6,1,2,Exports,360,Indonesia,,4,Afghanistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6043,,1397760,,,0
HS,2017,201702,February 2017,6,1,2,Exports,360,Indonesia,,8,Albania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,40,,6008,,,0
HS,2017,201702,February 2017,6,1,1,Imports,360,Indonesia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,189,,48977,,,0
HS,2017,201706,June 2017,6,1,1,Imports,360,Indonesia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,104126,,20839025,,,0
HS,2017,201707,July 2017,6,1,2,Exports,360,Indonesia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2690058,,,0
HS,2017,201707,July 2017,6,1,2,Exports,360,Indonesia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,5857591,,,0
HS,2017,201707,July 2017,6,1,1,Imports,360,Indonesia,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19770,,2529681,,,0
HS,2017,201707,July 2017,6,1,2,Exports,360,Indonesia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2320,,,0
HS,2017,201707,July 2017,6,1,2,Exports,360,Indonesia,,104,Myanmar,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,8,,,0
HS,2017,201706,June 2017,6,1,1,Imports,360,Indonesia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,788,,177798,,,0
HS,2017,201705,May 2017,6,1,1,Imports,360,Indonesia,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,568,,360000,,,0
HS,2017,201702,February 2017,6,1,1,Imports,360,Indonesia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6364,,951970,,,0
HS,2017,201702,February 2017,6,1,1,Imports,360,Indonesia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1268,,568224,,,0
HS,2017,201707,July 2017,6,1,2,Exports,360,Indonesia,,324,Guinea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,14080,,,0
HS,2017,201707,July 2017,6,1,2,Exports,360,Indonesia,,328,Guyana,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,3570,,,0
HS,2017,201707,July 2017,6,1,2,Exports,360,Indonesia,,344,"China, Hong Kong SAR",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,7082,,,0
HS,2017,201707,July 2017,6,1,2,Exports,360,Indonesia,,364,Iran,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,16,,,0
HS,2017,201708,August 2017,6,1,2,Exports,360,Indonesia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,25,,,0
HS,2017,201708,August 2017,6,1,1,Imports,360,Indonesia,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,345,,40073,,,0
HS,2017,201709,September 2017,6,1,1,Imports,360,Indonesia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1350,,536203,,,0
HS,2017,201707,July 2017,6,1,2,Exports,360,Indonesia,,608,Philippines,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,39393,,,0
HS,2017,201707,July 2017,6,1,2,Exports,360,Indonesia,,626,Timor-Leste,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,15500,,,0
HS,2017,201707,July 2017,6,1,2,Exports,360,Indonesia,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,10,,,0
HS,2017,201707,July 2017,6,1,2,Exports,360,Indonesia,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,343865,,,0
HS,2017,201707,July 2017,6,1,2,Exports,360,Indonesia,,729,Sudan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,40290,,,0
HS,2017,201707,July 2017,6,1,2,Exports,360,Indonesia,,762,Tajikistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,16538,,,0
HS,2017,201707,July 2017,6,1,2,Exports,360,Indonesia,,764,Thailand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1913030,,,0
HS,2017,201707,July 2017,6,1,2,Exports,360,Indonesia,,792,Turkey,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,253100,,,0
HS,2017,201707,July 2017,6,1,2,Exports,360,Indonesia,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,3800,,,0
HS,2017,201707,July 2017,6,1,2,Exports,360,Indonesia,,404,Kenya,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,88143,,,0
HS,2017,201707,July 2017,6,1,2,Exports,360,Indonesia,,458,Malaysia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,31509,,,0
HS,2017,201707,July 2017,6,1,1,Imports,360,Indonesia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,995,,459249,,,0
HS,2017,201705,May 2017,6,1,1,Imports,360,Indonesia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,599,,,0
HS,2017,201705,May 2017,6,1,1,Imports,360,Indonesia,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,195,,,0
HS,2017,201705,May 2017,6,1,2,Exports,360,Indonesia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,4850322,,,0
HS,2017,201705,May 2017,6,1,2,Exports,360,Indonesia,,524,Nepal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,136774,,,0
HS,2017,201705,May 2017,6,1,2,Exports,360,Indonesia,,788,Tunisia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,10,,,0
HS,2017,201705,May 2017,6,1,2,Exports,360,Indonesia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,10900,,,0
HS,2017,201702,February 2017,6,1,1,Imports,360,Indonesia,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,449,,478908,,,0
HS,2017,201706,June 2017,6,1,1,Imports,360,Indonesia,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,88,,2738,,,0
HS,2017,201709,September 2017,6,1,1,Imports,360,Indonesia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19708,,9588345,,,0
HS,2017,201702,February 2017,6,1,1,Imports,360,Indonesia,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,48,,2683,,,0
HS,2017,201702,February 2017,6,1,1,Imports,360,Indonesia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,480,,,0
HS,2017,201707,July 2017,6,1,1,Imports,360,Indonesia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,49699,,8625425,,,0
HS,2017,201705,May 2017,6,1,1,Imports,360,Indonesia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5388,,1932047,,,0
HS,2017,201705,May 2017,6,1,1,Imports,360,Indonesia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28641,,5767258,,,0
HS,2017,201705,May 2017,6,1,2,Exports,360,Indonesia,,368,Iraq,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,10,,,0
HS,2017,201705,May 2017,6,1,2,Exports,360,Indonesia,,729,Sudan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,471420,,,0
HS,2017,201703,March 2017,6,1,1,Imports,360,Indonesia,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,48,,6261,,,0
HS,2017,201703,March 2017,6,1,1,Imports,360,Indonesia,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24940,,3223962,,,0
