Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,99335619,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7400,,1366143,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4000,,749839,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5300,,2200985,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,104,Myanmar,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,33182,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,108,Burundi,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,9612,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,152,Chile,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,500,,28185,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10200,,4501145,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,11038,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,700,,165774,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,246,Finland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,900,,143316,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4800,,2041455,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8400,,7819067,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2800,,1225982,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,376,Israel,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2500,,651114,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3900,,1105473,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5000,,1098544,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,504,Morocco,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1300,,458929,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,531,Curaçao,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,359,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,568,"Other Europe, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3200,,842568,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,579,Norway,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,32811,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,591,Panama,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,700,,398225,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,600,Paraguay,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,36438,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,604,Peru,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,700,,522227,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,620,Portugal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,300,,77469,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12900,,6096718,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,428,Latvia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,60614,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,300,,96098,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,458,Malaysia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1800,,2575225,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8200,,15049285,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,200,,32968,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8800,,2373395,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,740,Suriname,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,43153,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,18764,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,800,Uganda,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,15114,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,818,Egypt,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,11,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1000,,8161248,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17700,,7150728,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,2021,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,860,Uzbekistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,44602,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,862,Venezuela,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,500,,141968,,,0
HS,2016,201606,June 2016,6,1,2,Exports,528,Netherlands,,839,Special Categories,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,42500,,31953826,,,0
HS,2016,201607,July 2016,6,1,1,Imports,528,Netherlands,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,50707,,,0
HS,2016,201607,July 2016,6,1,1,Imports,528,Netherlands,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,55,,,0
HS,2016,201607,July 2016,6,1,1,Imports,528,Netherlands,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2989,,,0
HS,2016,201607,July 2016,6,1,1,Imports,528,Netherlands,,608,Philippines,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,100,,,0
HS,2016,201607,July 2016,6,1,1,Imports,528,Netherlands,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,190900,,59228426,,,0
HS,2016,201607,July 2016,6,1,1,Imports,528,Netherlands,,839,Special Categories,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,18419,,,0
HS,2016,201607,July 2016,6,1,1,Imports,528,Netherlands,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,67418667,,,0
HS,2016,201607,July 2016,6,1,1,Imports,528,Netherlands,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3200,,7212361,,,0
HS,2016,201607,July 2016,6,1,1,Imports,528,Netherlands,,300,Greece,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2048,,,0
HS,2016,201607,July 2016,6,1,1,Imports,528,Netherlands,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,476,,,0
HS,2016,201607,July 2016,6,1,1,Imports,528,Netherlands,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,500,,902467,,,0
HS,2016,201607,July 2016,6,1,1,Imports,528,Netherlands,,579,Norway,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,620,,,0
HS,2016,201601,January 2016,6,1,1,Imports,528,Netherlands,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,33069949,,,0
HS,2016,201601,January 2016,6,1,1,Imports,528,Netherlands,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2800,,7322138,,,0
HS,2016,201601,January 2016,6,1,1,Imports,528,Netherlands,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,400,,548473,,,0
HS,2016,201601,January 2016,6,1,1,Imports,528,Netherlands,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1173,,,0
HS,2016,201601,January 2016,6,1,1,Imports,528,Netherlands,,344,"China, Hong Kong SAR",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,87,,,0
HS,2016,201601,January 2016,6,1,1,Imports,528,Netherlands,,484,Mexico,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,543,,,0
HS,2016,201601,January 2016,6,1,1,Imports,528,Netherlands,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,69000,,25193267,,,0
HS,2016,201601,January 2016,6,1,1,Imports,528,Netherlands,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,206,,,0
HS,2016,201601,January 2016,6,1,1,Imports,528,Netherlands,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1100,,2834,,,0
HS,2016,201601,January 2016,6,1,1,Imports,528,Netherlands,,839,Special Categories,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1227,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,839,Special Categories,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,48600,,21742046,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,900,,209891,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,600,,4864759,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,860,Uzbekistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,64226,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,862,Venezuela,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,200,,127127,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,531,Curaçao,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2009,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,534,Sint Maarten (Dutch part),,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1314,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,535,"Bonaire, Saint Eustatius and Saba",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,880,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,568,"Other Europe, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1300,,516339,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,604,Peru,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,800,,197989,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,620,Portugal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1100,,250149,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,400,,906810,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,682,Saudi Arabia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,15682,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1800,,803586,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,706,Somalia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,16073,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6100,,1149292,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,740,Suriname,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2867,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4000,,1500048,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,376,Israel,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,700,,143906,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3000,,497106,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,163,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15700,,6126897,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,600,,168167,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,458,Malaysia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4000,,5867549,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,470,Malta,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,27269,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7100,,1785623,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,332,Haiti,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,300,,417209,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3600,,878509,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2700,,535094,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,152,Chile,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,400,,22763,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10400,,1502753,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,178,Congo,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,1444,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,204,Benin,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,800,,229711,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,222,El Salvador,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,400,,137781,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,246,Finland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1000,,161412,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,53243094,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,31,Azerbaijan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,500,,132014,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11300,,2000901,,,0
HS,2016,201601,January 2016,6,1,2,Exports,528,Netherlands,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1200,,235738,,,0
HS,2016,201612,December 2016,6,1,1,Imports,528,Netherlands,,112,Belarus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,148,,35011,,,0
HS,2016,201612,December 2016,6,1,1,Imports,528,Netherlands,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,333,,211854,,,0
HS,2016,201612,December 2016,6,1,2,Exports,528,Netherlands,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1640,,638194,,,0
HS,2016,201612,December 2016,6,1,2,Exports,528,Netherlands,,76,Brazil,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8717,,6988740,,,0
HS,2016,201612,December 2016,6,1,2,Exports,528,Netherlands,,152,Chile,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,949,,263731,,,0
HS,2016,201612,December 2016,6,1,2,Exports,528,Netherlands,,535,"Bonaire, Saint Eustatius and Saba",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,23,,1512,,,0
HS,2016,201612,December 2016,6,1,2,Exports,528,Netherlands,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,122,,360749,,,0
HS,2016,201612,December 2016,6,1,2,Exports,528,Netherlands,,703,Slovakia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,192,,45626,,,0
HS,2016,201612,December 2016,6,1,2,Exports,528,Netherlands,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4571,,3847587,,,0
HS,2016,201612,December 2016,6,1,2,Exports,528,Netherlands,,376,Israel,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9270,,2020552,,,0
HS,2016,201612,December 2016,6,1,2,Exports,528,Netherlands,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,174,,41442,,,0
HS,2016,201612,December 2016,6,1,2,Exports,528,Netherlands,,682,Saudi Arabia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2587,,3347268,,,0
HS,2016,201612,December 2016,6,1,2,Exports,528,Netherlands,,862,Venezuela,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2955,,862207,,,0
HS,2016,201612,December 2016,6,1,1,Imports,528,Netherlands,,839,Special Categories,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,321,,,0
HS,2016,201612,December 2016,6,1,2,Exports,528,Netherlands,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,46,,35324,,,0
HS,2016,201612,December 2016,6,1,2,Exports,528,Netherlands,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,442,,128973,,,0
HS,2016,201602,February 2016,6,1,1,Imports,528,Netherlands,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,74461896,,,0
HS,2016,201602,February 2016,6,1,1,Imports,528,Netherlands,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1700,,866019,,,0
HS,2016,201602,February 2016,6,1,1,Imports,528,Netherlands,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,500,,858443,,,0
HS,2016,201602,February 2016,6,1,1,Imports,528,Netherlands,,484,Mexico,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,44,,,0
HS,2016,201602,February 2016,6,1,1,Imports,528,Netherlands,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,688,,,0
HS,2016,201602,February 2016,6,1,1,Imports,528,Netherlands,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,900,,124086,,,0
HS,2016,201602,February 2016,6,1,1,Imports,528,Netherlands,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,144,,,0
HS,2016,201602,February 2016,6,1,1,Imports,528,Netherlands,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,111500,,72566413,,,0
HS,2016,201602,February 2016,6,1,1,Imports,528,Netherlands,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,45548,,,0
HS,2016,201602,February 2016,6,1,1,Imports,528,Netherlands,,839,Special Categories,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,510,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,839,Special Categories,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,33800,,20592446,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1400,,272732,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,834,United Rep. of Tanzania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2019,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,500,,3609729,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,860,Uzbekistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,101967,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,804,Ukraine,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,200,,385093,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,55,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,694,Sierra Leone,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2330,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5200,,974287,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1500,,1577757,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6500,,1668476,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,729,Sudan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,9473,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,740,Suriname,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,200,,1919,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,200,,38981,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,504,Morocco,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,600,,183057,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,534,Sint Maarten (Dutch part),,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2119,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,535,"Bonaire, Saint Eustatius and Saba",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,910,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,562,Niger,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,466,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,568,"Other Europe, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2000,,655164,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,591,Panama,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1300,,686080,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,598,Papua New Guinea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,500,,124197,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,600,Paraguay,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,400,,244090,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,604,Peru,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,57617,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,43529,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,620,Portugal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1500,,312856,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1900,,521371,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6400,,1949484,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,288,Ghana,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,11,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3400,,1118552,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,376,Israel,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,300,,33301,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1800,,345369,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,384,Côte d'Ivoire,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,30805,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,100,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10400,,3200896,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,458,Malaysia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1200,,170466,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,470,Malta,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,8863,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8200,,3152375,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,76,Brazil,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,300,,847949,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,108,Burundi,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1919,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,152,Chile,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1300,,3626157,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9200,,4127,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,246,Finland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1500,,228427,,,0
HS,2016,201602,February 2016,6,1,2,Exports,528,Netherlands,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,51425817,,,0
